photos,index,class instances,xmid,ymid,xmin,ymin,xmax,ymax,iwidth,iheight,class,valid,train,test
DJI_0321_10,21,1,328.0,249.5,305.0,228.0,351.0,271.0,512.0,512.0,container,True,False,False
DJI_0110_24,22,1,163.5,78.5,1.0,1.0,326.0,156.0,500.0,500.0,clutter,False,True,False
G0013884_1,23,1,221.0,341.5,58.0,210.0,384.0,473.0,512.0,512.0,car,True,False,False
G0036435_11,24,1,296.5,104.0,268.0,91.0,325.0,117.0,440.0,512.0,flower pot,False,True,False
G0024037_14,25,1,129.0,250.5,116.0,239.0,142.0,262.0,512.0,512.0,container,True,False,False
G0024037_14,26,2,136.5,399.5,121.0,384.0,152.0,415.0,512.0,512.0,container,True,False,False
G0024051_10,27,5,67.0,52.5,15.0,1.0,119.0,104.0,512.0,512.0,table,False,True,False
G0024039_11,28,1,116.0,79.5,7.0,32.0,225.0,127.0,440.0,512.0,car,False,True,False
DJI_0191_27,29,1,173.0,213.0,147.0,190.0,199.0,236.0,500.0,500.0,trash bin,False,False,True
DJI_0191_27,30,2,163.0,242.0,139.0,222.0,187.0,262.0,500.0,500.0,recycling bin,False,False,True
DJI_0191_27,31,3,161.0,240.0,137.0,220.0,185.0,260.0,500.0,500.0,no larvae,False,False,True
DJI_0191_27,32,4,171.0,211.0,145.0,188.0,197.0,234.0,500.0,500.0,no larvae,False,False,True
DJI_0191_27,33,5,186.5,125.0,173.0,113.0,200.0,137.0,500.0,500.0,flower pot,False,False,True
DJI_0191_27,34,6,174.5,91.5,163.0,78.0,186.0,105.0,500.0,500.0,flower pot,False,False,True
DJI_0191_27,35,7,184.5,123.0,171.0,111.0,198.0,135.0,500.0,500.0,no larvae,False,False,True
DJI_0191_27,36,8,172.5,89.5,161.0,76.0,184.0,103.0,500.0,500.0,no larvae,False,False,True
DJI_0337_1,37,1,257.5,182.0,240.0,163.0,275.0,201.0,500.0,500.0,container,False,True,False
DJI_0337_1,38,2,149.5,187.5,2.0,1.0,297.0,374.0,500.0,500.0,porch,False,True,False
DJI_0337_1,39,3,19.5,244.5,1.0,225.0,38.0,264.0,500.0,500.0,container,False,True,False
DJI_0337_1,40,4,407.5,147.5,347.0,87.0,468.0,208.0,500.0,500.0,tarp,False,True,False
DJI_0031_4,41,1,239.0,87.0,123.0,1.0,355.0,173.0,512.0,512.0,basketball,True,False,False
G0024049_3,42,2,311.0,376.0,301.0,366.0,321.0,386.0,512.0,512.0,toy,False,True,False
G0024049_3,43,3,469.0,272.0,426.0,230.0,512.0,314.0,512.0,512.0,table,False,True,False
G0024059_11,44,1,113.0,294.5,93.0,263.0,133.0,326.0,440.0,512.0,trash bin,False,True,False
G0024059_11,45,2,110.5,361.0,92.0,339.0,129.0,383.0,440.0,512.0,trash bin,False,True,False
G0024059_11,46,3,87.5,411.5,58.0,384.0,117.0,439.0,440.0,512.0,trash bin,False,True,False
G0024059_11,47,4,279.5,411.5,252.0,389.0,307.0,434.0,440.0,512.0,trash bin,False,True,False
DJI_0318_9,48,1,199.0,400.5,165.0,378.0,233.0,423.0,512.0,512.0,recycling bin,False,True,False
DJI_0318_9,49,2,213.5,473.5,188.0,444.0,239.0,503.0,512.0,512.0,recycling bin,False,True,False
DJI_0318_9,50,3,205.0,426.5,185.0,409.0,225.0,444.0,512.0,512.0,container,False,True,False
G0013844_19,51,1,235.5,82.5,99.0,54.0,372.0,111.0,512.0,464.0,ladder,False,True,False
DJI_0110_6,52,1,312.5,197.0,291.0,143.0,334.0,251.0,500.0,500.0,gutter,True,False,False
DJI_0393_21,53,1,198.5,426.0,12.0,352.0,385.0,500.0,500.0,500.0,porch,False,True,False
DJI_0016_6,54,1,263.5,386.5,225.0,346.0,302.0,427.0,512.0,512.0,trash bin,False,True,False
G0036432_10,55,1,185.0,238.0,176.0,228.0,194.0,248.0,512.0,512.0,flower pot,False,True,False
G0036432_10,56,2,226.5,227.0,208.0,210.0,245.0,244.0,512.0,512.0,flower pot,False,True,False
G0036432_10,57,3,200.0,244.5,188.0,234.0,212.0,255.0,512.0,512.0,flower pot,False,True,False
G0036432_10,58,4,321.0,319.0,312.0,310.0,330.0,328.0,512.0,512.0,container,False,True,False
G0024039_22,59,1,122.5,328.0,37.0,239.0,208.0,417.0,512.0,464.0,umbrella,False,True,False
DJI_0324_16,60,1,132.5,247.5,1.0,98.0,264.0,397.0,512.0,512.0,umbrella,False,True,False
G0013833_2,61,1,84.5,381.0,50.0,344.0,119.0,418.0,512.0,512.0,tarp,False,True,False
G0013833_2,62,2,31.0,447.0,1.0,395.0,61.0,499.0,512.0,512.0,tarp,False,True,False
G0013833_2,63,3,136.0,445.5,107.0,415.0,165.0,476.0,512.0,512.0,tarp,False,True,False
G0013833_2,64,4,93.0,484.5,61.0,457.0,125.0,512.0,512.0,512.0,tarp,False,True,False
G0013833_2,65,5,157.0,349.0,1.0,186.0,313.0,512.0,512.0,512.0,porch,False,True,False
DJI_0077_20,66,1,347.5,340.5,199.0,181.0,496.0,500.0,500.0,500.0,clutter,False,True,False
DJI_0077_20,67,2,239.5,480.0,201.0,460.0,278.0,500.0,500.0,500.0,trash,False,True,False
DJI_0077_20,68,3,348.0,342.5,201.0,186.0,495.0,499.0,500.0,500.0,larvae,False,True,False
DJI_0077_20,69,4,332.0,265.0,297.0,235.0,367.0,295.0,500.0,500.0,larvae,False,True,False
DJI_0077_20,70,5,256.0,458.5,198.0,417.0,314.0,500.0,500.0,500.0,larvae,False,True,False
DJI_0024_24,71,1,62.5,378.0,1.0,247.0,124.0,509.0,512.0,512.0,toy,False,True,False
DJI_0024_24,72,2,62.5,375.0,1.0,244.0,124.0,506.0,512.0,512.0,kayak,False,True,False
G0024051_11,73,1,177.5,179.0,157.0,159.0,198.0,199.0,440.0,512.0,container,False,True,False
G0024051_11,74,2,410.0,179.0,380.0,152.0,440.0,206.0,440.0,512.0,container,False,True,False
G0024058_6,75,1,66.0,268.0,1.0,143.0,131.0,393.0,512.0,512.0,car,False,True,False
DJI_0307_6,76,1,487.0,162.0,469.0,143.0,505.0,181.0,512.0,512.0,flower pot,False,True,False
DJI_0307_6,77,2,129.5,266.0,102.0,239.0,157.0,293.0,512.0,512.0,flower pot,False,True,False
DJI_0307_6,78,3,124.5,455.5,107.0,435.0,142.0,476.0,512.0,512.0,flower pot,False,True,False
DJI_0325_26,79,1,404.5,130.5,398.0,121.0,411.0,140.0,512.0,512.0,container,False,True,False
DJI_0325_26,80,2,398.0,157.5,382.0,132.0,414.0,183.0,512.0,512.0,watering can,False,True,False
G0013873_0,81,2,137.0,148.0,90.0,92.0,184.0,204.0,512.0,512.0,toy,False,False,True
G0013873_0,82,3,251.0,223.0,201.0,178.0,301.0,268.0,512.0,512.0,toy,False,False,True
G0013877_23,83,1,207.5,418.0,147.0,372.0,268.0,464.0,440.0,464.0,clutter,True,False,False
DJI_0033_19,84,1,490.5,381.5,469.0,360.0,512.0,403.0,512.0,512.0,flower pot,False,True,False
DJI_0033_19,85,2,209.0,346.0,193.0,330.0,225.0,362.0,512.0,512.0,container,False,True,False
DJI_0033_19,86,3,182.5,351.5,167.0,338.0,198.0,365.0,512.0,512.0,container,False,True,False
DJI_0326_38,87,1,212.5,269.0,1.0,88.0,424.0,450.0,512.0,512.0,porch,True,False,False
G0013833_0,88,1,238.5,38.0,99.0,1.0,378.0,75.0,512.0,512.0,car,False,False,True
G0024060_13,89,1,319.5,443.5,218.0,384.0,421.0,503.0,512.0,512.0,car,False,True,False
G0024070_13,90,1,263.0,173.0,252.0,161.0,274.0,185.0,512.0,512.0,container,False,True,False
G0024070_13,91,2,438.0,148.0,428.0,139.0,448.0,157.0,512.0,512.0,container,False,True,False
DJI_0116_41,92,1,42.5,399.5,1.0,345.0,84.0,454.0,500.0,500.0,air conditioner,False,True,False
G0024024_19,93,1,335.0,377.5,237.0,291.0,433.0,464.0,512.0,464.0,car,False,True,False
G0024033_4,94,1,146.5,173.5,132.0,155.0,161.0,192.0,512.0,512.0,container,False,True,False
G0024069_13,95,1,291.5,291.5,258.0,253.0,325.0,330.0,512.0,512.0,table,False,True,False
G0024069_13,96,4,269.0,394.5,258.0,386.0,280.0,403.0,512.0,512.0,container,False,True,False
G0024069_13,97,5,170.0,373.5,133.0,346.0,207.0,401.0,512.0,512.0,flower pot,False,True,False
G0024069_13,98,6,269.0,393.0,259.0,385.0,279.0,401.0,512.0,512.0,flower pot,False,True,False
G0024069_13,99,7,391.5,402.0,368.0,382.0,415.0,422.0,512.0,512.0,flower pot,False,True,False
G0024069_13,100,8,404.5,350.5,387.0,322.0,422.0,379.0,512.0,512.0,flower pot,False,True,False
G0024069_13,101,9,372.5,178.0,348.0,159.0,397.0,197.0,512.0,512.0,flower pot,False,True,False
G0024069_13,102,10,381.5,30.0,365.0,12.0,398.0,48.0,512.0,512.0,container,False,True,False
G0024069_13,103,11,299.0,310.0,108.0,170.0,490.0,450.0,512.0,512.0,porch,False,True,False
DJI_0191_17,104,1,63.5,41.0,31.0,22.0,96.0,60.0,500.0,500.0,flower pot,False,True,False
DJI_0191_17,105,2,73.0,104.5,49.0,86.0,97.0,123.0,500.0,500.0,flower pot,False,True,False
G0024072_13,106,1,334.0,483.0,310.0,462.0,358.0,504.0,512.0,512.0,trash bin,False,True,False
G0024072_13,107,2,267.0,476.5,247.0,459.0,287.0,494.0,512.0,512.0,trash bin,False,True,False
G0024072_13,108,3,286.5,488.5,263.0,465.0,310.0,512.0,512.0,512.0,trash bin,False,True,False
DJI_0191_2,109,1,64.5,27.5,52.0,5.0,77.0,50.0,500.0,500.0,flower pot,False,True,False
DJI_0097_17,110,1,255.5,231.5,11.0,52.0,500.0,411.0,500.0,500.0,porch,True,False,False
DJI_0300_10,111,1,429.5,363.5,412.0,348.0,447.0,379.0,512.0,512.0,container,False,True,False
G0024041_10,112,1,229.5,98.5,101.0,35.0,358.0,162.0,512.0,512.0,car,True,False,False
DJI_0035_10,113,1,205.5,436.5,36.0,390.0,375.0,483.0,512.0,512.0,toy,False,True,False
DJI_0035_10,114,2,194.5,433.5,34.0,393.0,355.0,474.0,512.0,512.0,kayak,False,True,False
G0024060_3,115,1,462.0,181.0,412.0,1.0,512.0,361.0,512.0,512.0,car,True,False,False
G0024060_3,116,2,479.0,439.0,447.0,366.0,511.0,512.0,512.0,512.0,car,True,False,False
DJI_0018_2,117,1,183.0,253.5,144.0,208.0,222.0,299.0,512.0,512.0,trash bin,False,True,False
DJI_0018_2,118,2,199.0,338.5,148.0,292.0,250.0,385.0,512.0,512.0,trash bin,False,True,False
DJI_0018_2,119,3,333.0,410.0,284.0,361.0,382.0,459.0,512.0,512.0,trash bin,False,True,False
DJI_0018_2,120,4,219.5,140.0,180.0,104.0,259.0,176.0,512.0,512.0,recycling bin,False,True,False
G0024062_22,121,1,114.5,172.5,76.0,132.0,153.0,213.0,512.0,464.0,table,False,True,False
G0024062_22,122,2,270.0,423.5,238.0,392.0,302.0,455.0,512.0,464.0,table,False,True,False
DJI_0334_40,123,1,57.5,408.5,1.0,346.0,114.0,471.0,500.0,500.0,tarp,False,True,False
G0013882_7,124,1,31.5,83.0,6.0,61.0,57.0,105.0,512.0,512.0,pot,False,True,False
G0024066_2,125,1,202.5,482.0,187.0,467.0,218.0,497.0,512.0,512.0,container,False,True,False
G0036435_3,126,1,43.0,492.5,24.0,473.0,62.0,512.0,512.0,512.0,container,False,True,False
G0036435_3,127,2,9.0,458.0,1.0,445.0,17.0,471.0,512.0,512.0,container,False,True,False
DJI_0024_3,128,1,29.5,408.0,10.0,374.0,49.0,442.0,512.0,512.0,gutter,False,True,False
DJI_0039_3,129,1,78.0,91.5,3.0,1.0,153.0,182.0,512.0,512.0,toy,False,True,False
G0024034_6,130,1,315.0,379.0,281.0,356.0,349.0,402.0,512.0,512.0,trash bin,False,True,False
G0024034_6,131,2,322.0,343.0,284.0,319.0,360.0,367.0,512.0,512.0,trash bin,False,True,False
G0024034_6,132,3,326.0,307.5,287.0,283.0,365.0,332.0,512.0,512.0,trash bin,False,True,False
G0036545_13,133,1,348.0,312.0,337.0,302.0,359.0,322.0,512.0,512.0,container,False,True,False
G0036545_13,134,2,75.5,247.5,53.0,233.0,98.0,262.0,512.0,512.0,flower pot,False,True,False
DJI_0028_39,135,1,260.5,462.5,192.0,413.0,329.0,512.0,416.0,512.0,toy,False,True,False
DJI_0104_22,136,1,27.0,174.0,1.0,140.0,53.0,208.0,500.0,500.0,trash bin,False,True,False
G0013879_9,137,1,382.5,337.0,362.0,317.0,403.0,357.0,512.0,512.0,container,False,True,False
G0013879_9,138,2,361.5,415.5,338.0,392.0,385.0,439.0,512.0,512.0,flower pot,False,True,False
G0013879_9,139,3,387.5,337.5,372.0,321.0,403.0,354.0,512.0,512.0,pot,False,True,False
G0013879_9,140,4,369.5,419.5,346.0,395.0,393.0,444.0,512.0,512.0,pot,False,True,False
G0024036_1,141,1,229.0,169.0,197.0,129.0,261.0,209.0,512.0,512.0,trash bin,False,True,False
G0024036_1,142,2,505.5,330.5,499.0,317.0,512.0,344.0,512.0,512.0,container,False,True,False
G0013866_1,143,1,348.5,478.0,331.0,459.0,366.0,497.0,512.0,512.0,table,False,True,False
G0013860_13,144,1,456.5,399.5,441.0,379.0,472.0,420.0,512.0,512.0,flower pot,False,True,False
G0013860_13,145,2,460.5,398.5,445.0,382.0,476.0,415.0,512.0,512.0,container,False,True,False
G0013860_13,146,3,259.5,325.0,238.0,303.0,281.0,347.0,512.0,512.0,container,False,True,False
G0013860_13,147,4,308.0,391.5,250.0,346.0,366.0,437.0,512.0,512.0,table,False,True,False
G0013852_3,148,1,450.0,155.5,419.0,113.0,481.0,198.0,512.0,512.0,basketball,False,True,False
DJI_0028_3,149,1,134.5,377.5,69.0,337.0,200.0,418.0,512.0,512.0,container,False,True,False
G0024086_11,150,1,95.0,363.5,1.0,305.0,189.0,422.0,440.0,512.0,car,False,True,False
G0036499_2,151,1,241.0,277.0,222.0,259.0,260.0,295.0,512.0,512.0,container,False,True,False
G0013869_9,152,1,170.5,108.5,6.0,5.0,335.0,212.0,512.0,512.0,car,False,True,False
G0013869_9,153,2,112.5,186.5,47.0,130.0,178.0,243.0,512.0,512.0,drain,False,True,False
G0024039_21,154,1,241.5,237.5,234.0,229.0,249.0,246.0,512.0,464.0,container,False,True,False
G0036462_15,155,1,316.5,143.5,294.0,120.0,339.0,167.0,512.0,512.0,container,False,True,False
G0036462_15,156,2,376.0,138.5,355.0,119.0,397.0,158.0,512.0,512.0,container,False,True,False
G0036462_15,157,3,108.5,272.0,1.0,32.0,216.0,512.0,512.0,512.0,porch,False,True,False
G0036462_15,158,4,109.0,348.0,53.0,270.0,165.0,426.0,512.0,512.0,table,False,True,False
DJI_0141_26,159,1,287.0,144.0,263.0,118.0,311.0,170.0,500.0,500.0,container,False,True,False
DJI_0141_26,160,2,285.0,142.0,261.0,116.0,309.0,168.0,500.0,500.0,no larvae,False,True,False
G0024038_13,161,1,254.5,361.5,241.0,349.0,268.0,374.0,512.0,512.0,container,False,True,False
DJI_0003_10,162,1,162.5,185.0,127.0,156.0,198.0,214.0,512.0,512.0,container,False,False,True
DJI_0003_10,163,2,152.0,140.0,125.0,119.0,179.0,161.0,512.0,512.0,container,False,False,True
DJI_0003_10,164,3,190.0,133.0,166.0,109.0,214.0,157.0,512.0,512.0,container,False,False,True
G0024057_6,165,1,232.0,267.5,143.0,138.0,321.0,397.0,512.0,512.0,car,False,False,True
DJI_0294_26,166,1,238.0,17.0,217.0,1.0,259.0,33.0,512.0,512.0,flower pot,False,True,False
DJI_0294_26,167,2,203.0,18.5,179.0,1.0,227.0,36.0,512.0,512.0,flower pot,False,True,False
DJI_0294_26,168,3,153.0,27.5,129.0,1.0,177.0,54.0,512.0,512.0,flower pot,False,True,False
DJI_0294_26,169,4,269.0,11.5,248.0,1.0,290.0,22.0,512.0,512.0,flower pot,False,True,False
DJI_0104_8,170,1,73.0,175.5,32.0,141.0,114.0,210.0,500.0,500.0,trash bin,False,True,False
DJI_0009_0,171,1,464.0,120.0,453.0,109.0,475.0,131.0,512.0,512.0,container,False,True,False
DJI_0009_0,172,2,498.0,399.0,484.0,387.0,512.0,411.0,512.0,512.0,container,False,True,False
DJI_0009_0,173,3,352.5,113.5,317.0,64.0,388.0,163.0,512.0,512.0,container,False,True,False
DJI_0009_0,174,4,340.0,157.0,278.0,57.0,402.0,257.0,512.0,512.0,clutter,False,True,False
DJI_0009_0,175,5,375.5,232.5,357.0,212.0,394.0,253.0,512.0,512.0,toy,False,True,False
DJI_0009_0,176,6,369.0,141.5,356.0,127.0,382.0,156.0,512.0,512.0,toy,False,True,False
DJI_0009_0,177,7,364.0,118.5,353.0,109.0,375.0,128.0,512.0,512.0,toy,False,True,False
G0013831_1,178,1,214.5,109.5,201.0,95.0,228.0,124.0,512.0,512.0,container,False,True,False
G0024070_17,179,1,166.5,282.5,1.0,135.0,332.0,430.0,440.0,512.0,umbrella,False,True,False
G0013831_11,180,1,304.0,352.5,288.0,339.0,320.0,366.0,440.0,512.0,trash bin,False,True,False
G0013831_11,181,2,160.0,396.0,49.0,339.0,271.0,453.0,440.0,512.0,car,False,True,False
DJI_0110_16,182,1,161.0,271.0,1.0,194.0,321.0,348.0,500.0,500.0,clutter,True,False,False
DJI_0110_16,183,2,415.0,96.0,385.0,64.0,445.0,128.0,500.0,500.0,trash bin,True,False,False
DJI_0110_16,184,3,369.5,51.5,336.0,27.0,403.0,76.0,500.0,500.0,trash bin,True,False,False
DJI_0144_9,185,1,303.5,73.0,266.0,26.0,341.0,120.0,500.0,500.0,toy,False,True,False
DJI_0084_22,186,1,290.5,51.0,242.0,1.0,339.0,101.0,500.0,500.0,toy,True,False,False
DJI_0084_22,187,2,330.0,26.0,256.0,1.0,404.0,51.0,500.0,500.0,toy,True,False,False
DJI_0121_5,188,1,136.0,319.0,109.0,295.0,163.0,343.0,500.0,500.0,flower pot,False,True,False
DJI_0119_21,189,1,424.5,85.5,404.0,41.0,445.0,130.0,500.0,500.0,gutter,False,False,True
G0024058_12,190,1,276.5,260.5,132.0,157.0,421.0,364.0,512.0,512.0,car,False,False,True
DJI_0308_6,191,1,408.5,256.0,386.0,225.0,431.0,287.0,512.0,512.0,trash bin,False,True,False
DJI_0308_6,192,2,473.5,235.5,435.0,200.0,512.0,271.0,512.0,512.0,trash bin,False,True,False
G0024068_14,193,2,196.5,81.5,179.0,64.0,214.0,99.0,512.0,512.0,container,True,False,False
G0013832_9,194,2,106.0,242.5,94.0,232.0,118.0,253.0,512.0,512.0,container,False,True,False
G0013832_9,195,3,106.0,194.0,101.0,187.0,111.0,201.0,512.0,512.0,container,False,True,False
G0013832_9,196,4,100.0,317.0,95.0,311.0,105.0,323.0,512.0,512.0,container,False,True,False
G0013834_2,197,2,188.5,303.0,163.0,277.0,214.0,329.0,512.0,512.0,flower pot,False,True,False
G0013834_2,198,3,188.0,200.5,158.0,168.0,218.0,233.0,512.0,512.0,flower pot,False,True,False
G0013834_2,199,4,191.0,94.5,163.0,67.0,219.0,122.0,512.0,512.0,flower pot,False,True,False
G0013834_2,200,6,139.5,374.5,123.0,359.0,156.0,390.0,512.0,512.0,container,False,True,False
DJI_0007_23,201,1,49.0,127.5,33.0,112.0,65.0,143.0,416.0,512.0,container,False,True,False
G0036462_4,202,1,211.5,32.5,168.0,3.0,255.0,62.0,512.0,512.0,toy,False,False,True
G0036553_3,203,1,192.5,123.0,164.0,98.0,221.0,148.0,512.0,512.0,trash bin,False,True,False
DJI_0027_5,204,1,345.5,74.0,266.0,14.0,425.0,134.0,512.0,512.0,trash,True,False,False
DJI_0027_5,205,2,352.0,171.5,324.0,111.0,380.0,232.0,512.0,512.0,container,True,False,False
DJI_0027_5,206,3,324.5,254.5,251.0,1.0,398.0,508.0,512.0,512.0,ladder,True,False,False
G0036535_10,207,1,421.0,233.5,406.0,220.0,436.0,247.0,512.0,512.0,container,False,True,False
G0036535_10,208,2,332.0,386.0,268.0,308.0,396.0,464.0,512.0,512.0,table,False,True,False
G0013877_5,209,1,102.5,173.5,3.0,84.0,202.0,263.0,440.0,512.0,trash,False,True,False
DJI_0320_4,210,1,455.5,405.5,399.0,348.0,512.0,463.0,512.0,512.0,tarp,False,True,False
G0013877_1,211,1,497.5,241.5,483.0,223.0,512.0,260.0,512.0,512.0,container,True,False,False
G0013877_1,212,2,498.5,240.0,485.0,224.0,512.0,256.0,512.0,512.0,flower pot,True,False,False
DJI_0300_41,213,1,294.0,64.0,287.0,56.0,301.0,72.0,512.0,440.0,container,False,True,False
DJI_0300_41,214,2,108.0,135.5,66.0,42.0,150.0,229.0,512.0,440.0,ladder,False,True,False
G0013846_5,215,1,295.0,399.5,168.0,326.0,422.0,473.0,440.0,512.0,car,False,True,False
DJI_0121_24,216,1,123.0,253.0,89.0,224.0,157.0,282.0,500.0,500.0,trash bin,False,True,False
DJI_0121_24,217,2,75.0,261.0,43.0,228.0,107.0,294.0,500.0,500.0,trash bin,False,True,False
G0036467_14,218,1,390.5,295.5,383.0,287.0,398.0,304.0,512.0,512.0,container,False,True,False
G0036467_14,219,2,421.5,328.0,398.0,308.0,445.0,348.0,512.0,512.0,flower pot,False,True,False
DJI_0388_21,220,1,46.0,229.0,20.0,207.0,72.0,251.0,500.0,500.0,container,False,True,False
DJI_0388_21,221,2,42.5,228.5,17.0,206.0,68.0,251.0,500.0,500.0,bird bath,False,True,False
G0024037_16,222,1,190.0,56.5,141.0,5.0,239.0,108.0,512.0,512.0,basketball,True,False,False
G0013862_2,223,1,93.0,170.5,1.0,9.0,185.0,332.0,512.0,512.0,porch,False,False,True
DJI_0395_11,224,1,254.5,230.0,51.0,1.0,458.0,459.0,500.0,500.0,porch,False,True,False
G0024073_16,225,1,318.5,142.5,292.0,118.0,345.0,167.0,512.0,512.0,container,False,True,False
G0024073_16,226,2,358.0,128.0,333.0,104.0,383.0,152.0,512.0,512.0,container,False,True,False
G0024073_16,227,3,385.5,115.5,363.0,93.0,408.0,138.0,512.0,512.0,container,False,True,False
G0024073_16,228,4,428.0,106.5,395.0,76.0,461.0,137.0,512.0,512.0,trash bin,False,True,False
G0024073_16,229,5,471.0,78.0,437.0,44.0,505.0,112.0,512.0,512.0,trash bin,False,True,False
DJI_0127_7,230,1,115.5,422.5,77.0,387.0,154.0,458.0,500.0,500.0,table,False,True,False
DJI_0154_33,231,1,114.5,203.0,1.0,41.0,228.0,365.0,500.0,500.0,porch,False,True,False
DJI_0193_12,232,1,367.5,460.5,351.0,442.0,384.0,479.0,500.0,500.0,container,False,True,False
DJI_0193_12,233,2,271.5,442.5,251.0,423.0,292.0,462.0,500.0,500.0,flower pot,False,True,False
DJI_0193_12,234,3,191.5,31.0,168.0,9.0,215.0,53.0,500.0,500.0,container,False,True,False
DJI_0193_12,235,4,235.0,442.0,28.0,384.0,442.0,500.0,500.0,500.0,porch,False,True,False
G0024033_11,236,1,127.5,289.5,99.0,273.0,156.0,306.0,440.0,512.0,toy,False,True,False
G0024033_11,237,2,233.5,320.0,227.0,312.0,240.0,328.0,440.0,512.0,container,False,True,False
G0024033_11,238,4,390.0,342.0,365.0,322.0,415.0,362.0,440.0,512.0,table,False,True,False
G0024039_10,239,1,90.0,75.0,1.0,21.0,179.0,129.0,512.0,512.0,car,True,False,False
DJI_0125_38,240,1,63.5,54.0,43.0,36.0,84.0,72.0,500.0,500.0,flower pot,False,True,False
DJI_0014_46,241,1,317.0,409.5,279.0,379.0,355.0,440.0,512.0,440.0,trash bin,False,False,True
DJI_0308_39,242,1,169.5,28.5,147.0,11.0,192.0,46.0,416.0,512.0,flower pot,False,True,False
DJI_0308_39,243,2,216.0,134.0,205.0,113.0,227.0,155.0,416.0,512.0,container,False,True,False
DJI_0247_27,244,1,83.0,384.5,49.0,298.0,117.0,471.0,500.0,500.0,gutter,True,False,False
DJI_0247_27,245,2,81.0,382.5,47.0,296.0,115.0,469.0,500.0,500.0,no larvae,True,False,False
DJI_0334_16,246,1,438.0,80.0,412.0,59.0,464.0,101.0,500.0,500.0,flower pot,False,True,False
DJI_0334_16,247,2,444.5,181.5,426.0,159.0,463.0,204.0,500.0,500.0,flower pot,False,True,False
DJI_0334_16,248,3,445.0,310.0,426.0,288.0,464.0,332.0,500.0,500.0,flower pot,False,True,False
DJI_0121_7,249,1,86.0,305.5,65.0,289.0,107.0,322.0,500.0,500.0,flower pot,False,True,False
DJI_0121_7,250,2,83.5,332.0,60.0,314.0,107.0,350.0,500.0,500.0,flower pot,False,True,False
DJI_0017_11,251,1,469.0,435.5,426.0,361.0,512.0,510.0,512.0,512.0,container,False,True,False
DJI_0163_9,252,1,161.5,139.0,39.0,61.0,284.0,217.0,500.0,500.0,toy,True,False,False
DJI_0163_9,253,2,33.5,78.5,1.0,6.0,66.0,151.0,500.0,500.0,tarp,True,False,False
G0024029_8,254,1,48.5,321.0,30.0,303.0,67.0,339.0,512.0,512.0,container,True,False,False
G0024048_13,255,1,349.0,47.5,339.0,38.0,359.0,57.0,512.0,512.0,container,False,True,False
G0013853_4,256,1,230.0,476.0,93.0,440.0,367.0,512.0,512.0,512.0,car,False,False,True
DJI_0106_14,257,1,257.5,80.0,243.0,63.0,272.0,97.0,500.0,500.0,container,False,False,True
DJI_0106_14,258,2,344.0,130.5,333.0,118.0,355.0,143.0,500.0,500.0,container,False,False,True
G0024035_10,259,1,241.0,117.5,232.0,111.0,250.0,124.0,512.0,512.0,container,False,True,False
