photos,class,class instances,xmid,ymid,xmin,ymin,xmax,ymax,iwidth,iheight,valid
G0013860_13,table,4,308.0,391.5,250.0,346.0,366.0,437.0,512.0,512.0,False
G0013852_3,basketball,1,450.0,155.5,419.0,113.0,481.0,198.0,512.0,512.0,True
DJI_0028_3,container,1,134.5,377.5,69.0,337.0,200.0,418.0,512.0,512.0,True
G0024086_11,car,1,95.0,363.5,1.0,305.0,189.0,422.0,440.0,512.0,False
G0036499_2,container,1,241.0,277.0,222.0,259.0,260.0,295.0,512.0,512.0,False
G0013869_9,car,1,170.5,108.5,6.0,5.0,335.0,212.0,512.0,512.0,False
G0013869_9,drain,2,112.5,186.5,47.0,130.0,178.0,243.0,512.0,512.0,False
G0024039_21,container,1,241.5,237.5,234.0,229.0,249.0,246.0,512.0,464.0,False
G0036462_15,container,1,316.5,143.5,294.0,120.0,339.0,167.0,512.0,512.0,False
G0036462_15,container,2,376.0,138.5,355.0,119.0,397.0,158.0,512.0,512.0,False
G0036462_15,porch,3,108.5,272.0,1.0,32.0,216.0,512.0,512.0,512.0,False
G0036462_15,table,4,109.0,348.0,53.0,270.0,165.0,426.0,512.0,512.0,False
G0036427_21,pool,1,305.5,347.0,99.0,230.0,512.0,464.0,512.0,464.0,False
G0024038_13,container,1,254.5,361.5,241.0,349.0,268.0,374.0,512.0,512.0,True
DJI_0003_10,container,1,162.5,185.0,127.0,156.0,198.0,214.0,512.0,512.0,True
DJI_0003_10,container,2,152.0,140.0,125.0,119.0,179.0,161.0,512.0,512.0,True
DJI_0003_10,container,3,190.0,133.0,166.0,109.0,214.0,157.0,512.0,512.0,True
DJI_0003_10,hose,4,306.5,112.5,292.0,97.0,321.0,128.0,512.0,512.0,True
G0024057_6,car,1,232.0,267.5,143.0,138.0,321.0,397.0,512.0,512.0,False
DJI_0294_26,flower pot,1,238.0,17.0,217.0,1.0,259.0,33.0,512.0,512.0,False
DJI_0294_26,flower pot,2,203.0,18.5,179.0,1.0,227.0,36.0,512.0,512.0,False
DJI_0294_26,flower pot,3,153.0,27.5,129.0,1.0,177.0,54.0,512.0,512.0,False
DJI_0294_26,flower pot,4,269.0,11.5,248.0,1.0,290.0,22.0,512.0,512.0,False
DJI_0009_0,container,1,464.0,120.0,453.0,109.0,475.0,131.0,512.0,512.0,False
DJI_0009_0,container,2,498.0,399.0,484.0,387.0,512.0,411.0,512.0,512.0,False
DJI_0009_0,container,3,352.5,113.5,317.0,64.0,388.0,163.0,512.0,512.0,False
DJI_0009_0,clutter,4,340.0,157.0,278.0,57.0,402.0,257.0,512.0,512.0,False
DJI_0009_0,toy,5,375.5,232.5,357.0,212.0,394.0,253.0,512.0,512.0,False
DJI_0009_0,toy,6,369.0,141.5,356.0,127.0,382.0,156.0,512.0,512.0,False
DJI_0009_0,toy,7,364.0,118.5,353.0,109.0,375.0,128.0,512.0,512.0,False
G0013831_1,container,1,214.5,109.5,201.0,95.0,228.0,124.0,512.0,512.0,False
G0013831_1,tire,2,211.0,480.0,190.0,462.0,232.0,498.0,512.0,512.0,False
G0024070_17,umbrella,1,166.5,282.5,1.0,135.0,332.0,430.0,440.0,512.0,False
G0013831_11,trash bin,1,304.0,352.5,288.0,339.0,320.0,366.0,440.0,512.0,True
G0013831_11,car,2,160.0,396.0,49.0,339.0,271.0,453.0,440.0,512.0,True
G0024058_12,car,1,276.5,260.5,132.0,157.0,421.0,364.0,512.0,512.0,False
DJI_0308_6,trash bin,1,408.5,256.0,386.0,225.0,431.0,287.0,512.0,512.0,False
DJI_0308_6,trash bin,2,473.5,235.5,435.0,200.0,512.0,271.0,512.0,512.0,False
G0024068_14,container,2,196.5,81.5,179.0,64.0,214.0,99.0,512.0,512.0,False
G0013832_9,container,2,106.0,242.5,94.0,232.0,118.0,253.0,512.0,512.0,False
G0013832_9,container,3,106.0,194.0,101.0,187.0,111.0,201.0,512.0,512.0,False
G0013832_9,container,4,100.0,317.0,95.0,311.0,105.0,323.0,512.0,512.0,False
G0013834_2,pool,1,380.5,165.5,250.0,1.0,511.0,330.0,512.0,512.0,False
G0013834_2,flower pot,2,188.5,303.0,163.0,277.0,214.0,329.0,512.0,512.0,False
G0013834_2,flower pot,3,188.0,200.5,158.0,168.0,218.0,233.0,512.0,512.0,False
G0013834_2,flower pot,4,191.0,94.5,163.0,67.0,219.0,122.0,512.0,512.0,False
G0013834_2,container,6,139.5,374.5,123.0,359.0,156.0,390.0,512.0,512.0,False
DJI_0007_23,container,1,49.0,127.5,33.0,112.0,65.0,143.0,416.0,512.0,False
G0036462_4,toy,1,211.5,32.5,168.0,3.0,255.0,62.0,512.0,512.0,False
G0036553_3,trash bin,1,192.5,123.0,164.0,98.0,221.0,148.0,512.0,512.0,False
DJI_0027_5,trash,1,345.5,74.0,266.0,14.0,425.0,134.0,512.0,512.0,True
DJI_0027_5,container,2,352.0,171.5,324.0,111.0,380.0,232.0,512.0,512.0,True
DJI_0027_5,ladder,3,324.5,254.5,251.0,1.0,398.0,508.0,512.0,512.0,True
G0036535_10,container,1,421.0,233.5,406.0,220.0,436.0,247.0,512.0,512.0,False
G0036535_10,table,2,332.0,386.0,268.0,308.0,396.0,464.0,512.0,512.0,False
G0036535_10,chair,3,352.0,283.5,313.0,248.0,391.0,319.0,512.0,512.0,False
G0013877_5,trash,1,102.5,173.5,3.0,84.0,202.0,263.0,440.0,512.0,False
G0013868_18,tire,1,36.5,80.5,14.0,58.0,59.0,103.0,512.0,464.0,False
DJI_0320_4,tarp,1,455.5,405.5,399.0,348.0,512.0,463.0,512.0,512.0,False
G0013877_1,container,1,497.5,241.5,483.0,223.0,512.0,260.0,512.0,512.0,True
G0013877_1,flower pot,2,498.5,240.0,485.0,224.0,512.0,256.0,512.0,512.0,True
DJI_0300_41,container,1,294.0,64.0,287.0,56.0,301.0,72.0,512.0,440.0,False
DJI_0300_41,ladder,2,108.0,135.5,66.0,42.0,150.0,229.0,512.0,440.0,False
G0013846_5,car,1,295.0,399.5,168.0,326.0,422.0,473.0,440.0,512.0,False
G0036467_14,container,1,390.5,295.5,383.0,287.0,398.0,304.0,512.0,512.0,False
G0036467_14,flower pot,2,421.5,328.0,398.0,308.0,445.0,348.0,512.0,512.0,False
G0024037_16,basketball,1,190.0,56.5,141.0,5.0,239.0,108.0,512.0,512.0,False
G0013862_2,porch,1,93.0,170.5,1.0,9.0,185.0,332.0,512.0,512.0,False
G0024073_16,container,1,318.5,142.5,292.0,118.0,345.0,167.0,512.0,512.0,False
G0024073_16,container,2,358.0,128.0,333.0,104.0,383.0,152.0,512.0,512.0,False
G0024073_16,container,3,385.5,115.5,363.0,93.0,408.0,138.0,512.0,512.0,False
G0024073_16,trash bin,4,428.0,106.5,395.0,76.0,461.0,137.0,512.0,512.0,False
G0024073_16,trash bin,5,471.0,78.0,437.0,44.0,505.0,112.0,512.0,512.0,False
G0024033_11,toy,1,127.5,289.5,99.0,273.0,156.0,306.0,440.0,512.0,True
G0024033_11,container,2,233.5,320.0,227.0,312.0,240.0,328.0,440.0,512.0,True
G0024033_11,chair,3,349.5,320.5,307.0,293.0,392.0,348.0,440.0,512.0,True
G0024033_11,table,4,390.0,342.0,365.0,322.0,415.0,362.0,440.0,512.0,True
G0024039_10,car,1,90.0,75.0,1.0,21.0,179.0,129.0,512.0,512.0,True
DJI_0014_46,trash bin,1,317.0,409.5,279.0,379.0,355.0,440.0,512.0,440.0,False
DJI_0308_39,flower pot,1,169.5,28.5,147.0,11.0,192.0,46.0,416.0,512.0,False
DJI_0308_39,container,2,216.0,134.0,205.0,113.0,227.0,155.0,416.0,512.0,False
DJI_0017_11,container,1,469.0,435.5,426.0,361.0,512.0,510.0,512.0,512.0,False
G0024029_8,container,1,48.5,321.0,30.0,303.0,67.0,339.0,512.0,512.0,True
G0024048_13,container,1,349.0,47.5,339.0,38.0,359.0,57.0,512.0,512.0,False
G0024048_13,chair,2,395.5,23.5,365.0,1.0,426.0,46.0,512.0,512.0,False
G0013853_4,car,1,230.0,476.0,93.0,440.0,367.0,512.0,512.0,512.0,False
G0024035_10,container,1,241.0,117.5,232.0,111.0,250.0,124.0,512.0,512.0,False
G0024059_10,trash bin,1,454.5,336.5,439.0,320.0,470.0,353.0,512.0,512.0,True
G0024059_10,trash bin,2,451.0,366.0,435.0,346.0,467.0,386.0,512.0,512.0,True
G0024059_10,container,3,496.5,245.0,486.0,235.0,507.0,255.0,512.0,512.0,True
G0024074_21,flower pot,1,362.5,66.5,349.0,48.0,376.0,85.0,512.0,464.0,True
DJI_0039_37,container,1,230.5,460.0,208.0,437.0,253.0,483.0,512.0,512.0,False
DJI_0030_25,flower pot,1,390.0,60.5,369.0,40.0,411.0,81.0,512.0,512.0,False
G0036546_12,container,1,203.0,359.5,194.0,349.0,212.0,370.0,512.0,512.0,True
G0013882_1,car,1,150.0,368.5,1.0,266.0,299.0,471.0,512.0,512.0,False
G0024050_8,umbrella,1,360.5,152.5,276.0,61.0,445.0,244.0,512.0,512.0,True
G0024066_0,trash bin,1,369.5,414.5,354.0,399.0,385.0,430.0,512.0,512.0,False
G0024066_0,trash bin,2,394.5,425.0,380.0,409.0,409.0,441.0,512.0,512.0,False
G0024066_0,container,3,363.5,410.5,344.0,389.0,383.0,432.0,512.0,512.0,False
G0024066_0,container,4,392.5,396.0,375.0,379.0,410.0,413.0,512.0,512.0,False
G0024066_0,container,5,399.0,427.0,379.0,413.0,419.0,441.0,512.0,512.0,False
DJI_0297_38,flower pot,1,441.0,202.5,423.0,182.0,459.0,223.0,512.0,512.0,False
G0024057_8,car,1,484.0,164.0,472.0,152.0,496.0,176.0,512.0,512.0,False
G0024038_3,flower pot,1,141.0,139.0,132.0,130.0,150.0,148.0,512.0,512.0,False
DJI_0322_6,toy,1,223.5,138.5,186.0,1.0,261.0,276.0,512.0,512.0,True
DJI_0322_6,toy,2,289.0,128.5,241.0,1.0,337.0,256.0,512.0,512.0,True
DJI_0322_6,kayak,3,287.0,128.5,239.0,1.0,335.0,256.0,512.0,512.0,True
DJI_0322_6,kayak,4,221.5,138.5,184.0,1.0,259.0,276.0,512.0,512.0,True
DJI_0031_18,umbrella,1,116.5,239.0,1.0,100.0,232.0,378.0,512.0,512.0,True
G0013880_13,container,1,398.0,27.0,377.0,10.0,419.0,44.0,512.0,512.0,False
G0013880_13,pot,2,404.0,29.5,381.0,10.0,427.0,49.0,512.0,512.0,False
G0024050_23,container,1,161.5,122.0,145.0,106.0,178.0,138.0,440.0,464.0,False
G0024068_9,chair,1,273.5,424.0,238.0,384.0,309.0,464.0,512.0,512.0,False
G0036430_9,toy,1,205.0,425.5,181.0,387.0,229.0,464.0,512.0,512.0,False
G0036430_9,container,2,179.0,416.0,163.0,402.0,195.0,430.0,512.0,512.0,False
G0036430_9,pool,3,88.0,116.5,5.0,3.0,171.0,230.0,512.0,512.0,False
G0036430_9,tarp,4,71.0,465.5,1.0,436.0,141.0,495.0,512.0,512.0,False
G0024087_21,drain,1,151.0,123.5,116.0,101.0,186.0,146.0,512.0,464.0,False
DJI_0038_27,container,1,112.0,126.5,97.0,116.0,127.0,137.0,512.0,512.0,False
DJI_0038_27,container,2,162.5,130.0,148.0,116.0,177.0,144.0,512.0,512.0,False
DJI_0325_33,container,1,179.5,143.0,154.0,123.0,205.0,163.0,512.0,512.0,False
DJI_0325_33,trash bin,2,150.0,184.5,117.0,160.0,183.0,209.0,512.0,512.0,False
G0036428_20,flower pot,1,320.0,71.0,307.0,58.0,333.0,84.0,512.0,464.0,True
G0036428_20,flower pot,2,385.0,51.0,374.0,42.0,396.0,60.0,512.0,464.0,True
G0036428_20,toy,3,440.0,239.5,413.0,208.0,467.0,271.0,512.0,464.0,True
G0024087_14,container,1,62.5,347.5,45.0,333.0,80.0,362.0,512.0,512.0,False
G0024087_14,container,2,42.0,362.0,22.0,350.0,62.0,374.0,512.0,512.0,False
G0013878_19,container,1,55.5,378.0,32.0,354.0,79.0,402.0,512.0,464.0,True
G0013878_19,container,2,140.5,400.5,117.0,380.0,164.0,421.0,512.0,464.0,True
G0024017_2,gutter,2,230.5,370.0,210.0,344.0,251.0,396.0,512.0,512.0,True
G0024076_14,container,1,120.0,159.0,107.0,152.0,133.0,166.0,512.0,512.0,True
G0024059_3,car,1,385.5,349.0,259.0,249.0,512.0,449.0,512.0,512.0,False
G0024057_5,trash bin,1,295.0,109.5,272.0,84.0,318.0,135.0,440.0,512.0,False
G0024057_5,container,2,299.5,112.0,278.0,93.0,321.0,131.0,440.0,512.0,False
G0024057_5,container,3,130.0,106.5,115.0,92.0,145.0,121.0,440.0,512.0,False
G0024057_5,container,4,177.0,48.0,169.0,36.0,185.0,60.0,440.0,512.0,False
G0024057_5,trash bin,5,128.5,103.5,113.0,86.0,144.0,121.0,440.0,512.0,False
G0024026_17,car,1,167.0,186.0,32.0,109.0,302.0,263.0,440.0,512.0,False
DJI_0027_10,porch,1,171.0,398.5,1.0,293.0,341.0,504.0,512.0,512.0,False
G0024049_4,container,1,267.5,498.0,259.0,486.0,276.0,510.0,512.0,512.0,True
G0024049_4,hose,2,380.0,433.0,354.0,398.0,406.0,468.0,512.0,512.0,True
DJI_0031_6,toy,1,317.0,79.0,122.0,1.0,512.0,157.0,512.0,512.0,False
DJI_0031_6,toy,2,137.5,170.0,61.0,126.0,214.0,214.0,512.0,512.0,False
DJI_0031_6,toy,3,356.0,186.0,272.0,139.0,440.0,233.0,512.0,512.0,False
DJI_0031_6,toy,4,59.5,52.5,28.0,17.0,91.0,88.0,512.0,512.0,False
DJI_0037_10,porch,1,254.0,276.5,10.0,41.0,498.0,512.0,512.0,512.0,False
G0024040_5,car,1,230.0,255.0,107.0,191.0,353.0,319.0,440.0,512.0,False
G0024040_9,car,2,87.0,382.5,22.0,253.0,152.0,512.0,512.0,512.0,False
G0024036_16,basketball,1,474.5,473.5,440.0,435.0,509.0,512.0,512.0,512.0,True
G0013833_17,container,1,397.0,445.0,385.0,432.0,409.0,458.0,440.0,512.0,True
G0013833_17,trash bin,2,397.0,446.0,383.0,432.0,411.0,460.0,440.0,512.0,True
G0024059_4,drain,1,86.0,404.0,43.0,368.0,129.0,440.0,512.0,512.0,False
G0013868_20,air conditioner,1,315.0,290.0,280.0,247.0,350.0,333.0,512.0,464.0,False
DJI_0028_35,clutter,1,96.0,303.0,36.0,270.0,156.0,336.0,512.0,512.0,False
G0024095_0,porch,2,137.5,274.5,1.0,142.0,274.0,407.0,512.0,512.0,False
G0024095_0,table,3,90.0,263.5,52.0,225.0,128.0,302.0,512.0,512.0,False
G0024095_0,chair,4,83.0,194.5,43.0,167.0,123.0,222.0,512.0,512.0,False
G0024095_0,table,5,121.5,181.0,104.0,164.0,139.0,198.0,512.0,512.0,False
G0024095_0,flower pot,6,124.5,342.5,113.0,331.0,136.0,354.0,512.0,512.0,False
G0024095_0,flower pot,7,144.5,336.0,132.0,326.0,157.0,346.0,512.0,512.0,False
G0024030_11,container,1,211.0,454.5,183.0,419.0,239.0,490.0,440.0,512.0,False
DJI_0320_12,flower pot,2,126.0,309.0,105.0,288.0,147.0,330.0,512.0,512.0,True
DJI_0320_12,flower pot,3,171.5,275.5,147.0,252.0,196.0,299.0,512.0,512.0,True
DJI_0320_12,flower pot,4,165.5,333.5,141.0,310.0,190.0,357.0,512.0,512.0,True
DJI_0320_12,container,5,341.5,394.5,335.0,386.0,348.0,403.0,512.0,512.0,True
DJI_0294_18,flower pot,1,249.0,455.5,233.0,437.0,265.0,474.0,512.0,512.0,False
DJI_0294_18,flower pot,2,202.0,465.0,186.0,449.0,218.0,481.0,512.0,512.0,False
DJI_0294_18,flower pot,3,263.0,496.5,239.0,481.0,287.0,512.0,512.0,512.0,False
DJI_0294_18,flower pot,4,179.0,499.5,160.0,487.0,198.0,512.0,512.0,512.0,False
