photos,classes,class instances,midx,midy,xmin,ymin,xmax,ymax,confidence
DJI_0292_30,porch,5,416,325.5,320,139,512,512,0.071490951
DJI_0292_30,porch,6,199.5,418.5,103,336,296,501,0.067189045
DJI_0292_30,porch,7,162,155.5,24,0,300,311,0.061083619
DJI_0292_30,porch,8,434.5,428.5,376,350,493,507,0.058603846
DJI_0292_30,porch,9,472,426.5,432,343,512,510,0.058560364
DJI_0292_30,porch,10,105.5,86,23,5,188,167,0.055783257
DJI_0292_30,porch,11,165,95,75,11,255,179,0.050691478
DJI_0292_30,container,1,411,18,397,3,425,33,0.160317376
DJI_0292_30,container,2,449.5,350.5,432,326,467,375,0.112989448
DJI_0292_30,container,3,452,203,435,185,469,221,0.090691723
DJI_0292_30,container,4,368,399,348,376,388,422,0.088685162
DJI_0292_30,container,5,116.5,365.5,98,339,135,392,0.08169397
DJI_0292_30,container,6,464,359,446,335,482,383,0.081443854
DJI_0292_30,container,7,116,17,101,5,131,29,0.081248768
DJI_0292_30,container,8,116,46,97,27,135,65,0.073216729
DJI_0292_30,container,9,123,481.5,88,454,158,509,0.06249648
DJI_0292_30,container,10,359.5,410.5,339,385,380,436,0.062433012
DJI_0292_30,container,11,116.5,31,98,14,135,48,0.059419878
DJI_0292_30,container,12,474.5,490.5,439,469,510,512,0.057037339
DJI_0292_30,container,13,103,16,91,5,115,27,0.056956433
DJI_0292_30,container,14,148,482.5,129,460,167,505,0.056343924
DJI_0292_30,container,15,487.5,399,472,370,503,428,0.056322526
DJI_0292_30,container,16,141,493.5,126,480,156,507,0.056197993
DJI_0292_30,container,17,195.5,492,184,482,207,502,0.054658238
DJI_0292_30,container,18,497,398.5,483,376,511,421,0.054500874
DJI_0292_30,container,19,112.5,71.5,94,49,131,94,0.054015685
DJI_0292_30,container,20,144.5,476,113,446,176,506,0.052104883
DJI_0292_30,container,21,425,112,408,85,442,139,0.051876735
DJI_0292_30,gutter,1,189.5,29,140,5,239,53,0.062360242
DJI_0292_30,gutter,2,281,67.5,252,16,310,119,0.052131169
DJI_0292_30,gutter,3,281,468,261,424,301,512,0.050069813
DJI_0292_30,trash bin,1,196,227.5,164,184,228,271,0.080429658
DJI_0292_30,trash bin,2,127,488.5,85,466,169,511,0.076396488
DJI_0292_30,trash bin,3,177.5,249,141,207,214,291,0.064231701
DJI_0292_30,trash bin,4,108.5,470,69,437,148,503,0.055771481
DJI_0292_30,trash bin,5,144.5,476,113,446,176,506,0.054588895
DJI_0292_30,trash bin,6,177,208,142,168,212,248,0.051877301
DJI_0292_30,trash bin,7,198,182,161,145,235,219,0.051307645
DJI_0292_30,toy,1,145.5,77.5,85,12,206,143,0.090533122
DJI_0292_30,toy,2,144,483.5,122,460,166,507,0.062065955
DJI_0292_30,toy,3,191,393,110,317,272,469,0.05071396
DJI_0292_30,clutter,1,127.5,45,88,1,167,89,0.115398318
DJI_0292_30,clutter,2,171,407.5,68,308,274,507,0.070403136
DJI_0292_30,clutter,3,147.5,34.5,105,5,190,64,0.069114044
DJI_0292_30,clutter,4,199.5,35.5,168,2,231,69,0.064942248
DJI_0292_30,clutter,5,186.5,47.5,123,3,250,92,0.063722886
DJI_0292_30,clutter,6,123.5,475.5,93,444,154,507,0.059521105
DJI_0292_30,clutter,7,121,444.5,91,398,151,491,0.059432615
DJI_0292_30,clutter,8,218.5,427.5,164,349,273,506,0.054341082
DJI_0292_30,clutter,9,117.5,389,86,342,149,436,0.053406242
DJI_0292_30,clutter,10,228,35.5,198,2,258,69,0.051994424
DJI_0292_30,clutter,11,91.5,385.5,57,345,126,426,0.051937107
DJI_0292_30,clutter,12,338.5,355.5,299,199,378,512,0.051799268
DJI_0292_30,clutter,13,277,83,228,6,326,160,0.050460659
DJI_0292_30,clutter,14,150.5,63,103,16,198,110,0.050378308
DJI_0292_30,car,1,167,404,75,304,259,504,0.112899534
DJI_0292_30,car,2,171.5,71.5,95,12,248,131,0.099314146
DJI_0292_30,car,3,121,53.5,39,14,203,93,0.060834199
DJI_0292_30,car,4,82,36,16,0,148,72,0.052597564
DJI_0292_30,table,1,174,66,117,26,231,106,0.106318332
DJI_0292_30,table,2,175.5,70,99,1,252,139,0.086409032
DJI_0292_30,table,3,143.5,483,108,457,179,509,0.075799368
DJI_0292_30,table,4,151,35,97,10,205,60,0.068327658
DJI_0292_30,table,5,145.5,55,111,9,180,101,0.066206001
DJI_0292_30,table,6,172.5,41.5,142,5,203,78,0.062883124
DJI_0292_30,table,7,176.5,396.5,94,310,259,483,0.058869019
DJI_0292_30,table,8,207,438.5,163,383,251,494,0.056625701
DJI_0292_30,table,9,138,67.5,74,37,202,98,0.054741099
DJI_0292_30,table,10,178,443,131,405,225,481,0.053335428
DJI_0292_30,table,11,202,89,160,31,244,147,0.051767983
DJI_0292_30,table,12,170.5,487,133,462,208,512,0.050522048
DJI_0292_30,air conditioner,1,372.5,116.5,343,98,402,135,0.064009167
DJI_0321_14,pot,1,403,214.5,383,189,423,240,0.192909315
DJI_0321_14,pot,2,438,209.5,419,184,457,235,0.130732149
DJI_0321_14,pot,3,451.5,211,433,187,470,235,0.123377249
DJI_0321_14,pot,4,498.5,196,486,175,511,217,0.079642162
DJI_0321_14,pot,5,476,209.5,454,186,498,233,0.077760361
DJI_0321_14,pot,6,421.5,210,401,186,442,234,0.061884429
DJI_0321_14,pot,7,400,199.5,383,182,417,217,0.061414227
DJI_0321_14,flower pot,1,482,210.5,462,189,502,232,0.595137417
DJI_0321_14,flower pot,2,60,182,40,165,80,199,0.258368313
DJI_0321_14,flower pot,3,410.5,222,391,201,430,243,0.258148044
DJI_0321_14,flower pot,4,158.5,214,141,195,176,233,0.121046059
DJI_0321_14,flower pot,5,406,198,390,181,422,215,0.109093696
DJI_0321_14,flower pot,6,65.5,170.5,43,156,88,185,0.100135729
DJI_0321_14,flower pot,7,499,183.5,488,170,510,197,0.096362986
DJI_0321_14,flower pot,8,423.5,197,405,178,442,216,0.096191958
DJI_0321_14,flower pot,9,451.5,411,430,390,473,432,0.095244385
DJI_0321_14,flower pot,10,409,187,398,174,420,200,0.089299709
DJI_0321_14,flower pot,11,438.5,219,420,195,457,243,0.082031295
DJI_0321_14,flower pot,12,497.5,197.5,483,180,512,215,0.081086628
DJI_0321_14,flower pot,13,451.5,211,433,187,470,235,0.077956922
DJI_0321_14,flower pot,14,500,174.5,489,163,511,186,0.075767994
DJI_0321_14,flower pot,15,490,184.5,477,172,503,197,0.074285686
DJI_0321_14,flower pot,16,470,218.5,450,194,490,243,0.073698953
DJI_0321_14,flower pot,17,47.5,175.5,23,160,72,191,0.07164304
DJI_0321_14,flower pot,18,493.5,218,478,200,509,236,0.067928165
DJI_0321_14,flower pot,19,481,192,469,177,493,207,0.063382119
DJI_0321_14,flower pot,20,244,210,225,188,263,232,0.062918745
DJI_0321_14,flower pot,21,398.5,186,382,173,415,199,0.06128259
DJI_0321_14,flower pot,22,422,212,400,192,444,232,0.059546359
DJI_0321_14,flower pot,23,387,221.5,367,196,407,247,0.059366826
DJI_0321_14,flower pot,24,401,212.5,382,187,420,238,0.058656882
DJI_0321_14,flower pot,25,170.5,201,157,183,184,219,0.056204241
DJI_0321_14,flower pot,26,144,207.5,124,187,164,228,0.054690499
DJI_0321_14,flower pot,27,471.5,200,453,174,490,226,0.054324664
DJI_0321_14,flower pot,28,59,193.5,42,177,76,210,0.053538062
DJI_0321_14,flower pot,29,176.5,355.5,159,334,194,377,0.051283624
DJI_0321_14,trash bin,1,229.5,207.5,199,179,260,236,0.081772372
DJI_0321_14,trash bin,2,230,186,203,153,257,219,0.062653318
DJI_0321_14,porch,1,130,92.5,10,0,250,185,0.064705648
DJI_0321_14,porch,2,334,223.5,211,164,457,283,0.064455949
DJI_0321_14,porch,3,189.5,154,0,76,379,232,0.062114991
DJI_0321_14,porch,4,229,218,89,173,369,263,0.059003092
DJI_0321_14,container,1,239,210,220,189,258,231,0.44281587
DJI_0321_14,container,2,115.5,65,99,52,132,78,0.231544062
DJI_0321_14,container,3,489,208.5,473,191,505,226,0.202753931
DJI_0321_14,container,4,126,51.5,112,38,140,65,0.134342313
DJI_0321_14,container,5,126.5,62,113,48,140,76,0.124741361
DJI_0321_14,container,6,497.5,182,486,170,509,194,0.123839892
DJI_0321_14,container,7,471,30,462,20,480,40,0.105246544
DJI_0321_14,container,8,238.5,190.5,228,177,249,204,0.105053693
DJI_0321_14,container,9,477.5,208,452,181,503,235,0.10034252
DJI_0321_14,container,10,113.5,50.5,98,35,129,66,0.099783443
DJI_0321_14,container,11,408.5,12.5,400,5,417,20,0.085978255
DJI_0321_14,container,12,103,50.5,90,34,116,67,0.082438007
DJI_0321_14,container,13,477,26,466,16,488,36,0.077966042
DJI_0321_14,container,14,22,192,0,165,44,219,0.077796653
DJI_0321_14,container,15,236.5,226.5,223,210,250,243,0.073147587
DJI_0321_14,container,16,247.5,224.5,230,206,265,243,0.068640158
DJI_0321_14,container,17,475.5,42.5,467,32,484,53,0.067815088
DJI_0321_14,container,18,192.5,207,176,178,209,236,0.067058101
DJI_0321_14,container,19,398,484,388,472,408,496,0.065469004
DJI_0321_14,container,20,398.5,189.5,384,176,413,203,0.059843183
DJI_0321_14,container,21,103.5,71,90,56,117,86,0.058948934
DJI_0321_14,container,22,228.5,218.5,211,197,246,240,0.057511359
DJI_0321_14,container,23,490.5,188.5,479,172,502,205,0.053220794
DJI_0321_14,container,24,96.5,63.5,83,47,110,80,0.05252634
DJI_0321_14,container,25,411.5,493,402,483,421,503,0.052420028
DJI_0321_14,container,26,498.5,173.5,487,163,510,184,0.052021075
DJI_0321_14,container,27,493,229,482,217,504,241,0.051045366
DJI_0321_14,container,28,232.5,209,201,180,264,238,0.050757945
DJI_0321_14,container,29,261,15,246,4,276,26,0.050744925
DJI_0321_14,gutter,1,273.5,199,103,161,444,237,0.08558777
DJI_0321_14,gutter,2,187,264,47,215,327,313,0.05804785
DJI_0321_14,gutter,3,318,259,163,213,473,305,0.054626655
DJI_0321_14,gutter,4,185,182,38,141,332,223,0.051358413
DJI_0321_14,trash bin,1,229.5,207.5,199,179,260,236,0.081772372
DJI_0321_14,trash bin,2,230,186,203,153,257,219,0.062653318
DJI_0321_14,toy,1,103,199.5,29,174,177,225,0.053646605
DJI_0321_14,drain,1,445.5,216,403,184,488,248,0.103629336
DJI_0321_14,drain,2,137.5,226,82,199,193,253,0.059032336
DJI_0321_14,drain,3,113,200.5,49,171,177,230,0.058233012
DJI_0321_14,clutter,1,278,215.5,124,171,432,260,0.0558002
DJI_0321_14,clutter,2,130,92.5,10,0,250,185,0.051119797
DJI_0321_14,table,1,119.5,76.5,49,10,190,143,0.052716959
DJI_0321_14,ladder,1,185,182,38,141,332,223,0.091079466
DJI_0321_14,ladder,2,273.5,199,103,161,444,237,0.08239153
DJI_0321_14,ladder,3,153,210,18,168,288,252,0.075687923
G0036461_14,pot,1,74.5,92,62,78,87,106,0.053900439
G0036461_14,flower pot,1,74,102.5,62,89,86,116,0.170064867
G0036461_14,flower pot,2,74.5,92,62,78,87,106,0.137199193
G0036461_14,flower pot,3,235.5,232.5,225,219,246,246,0.134919882
G0036461_14,flower pot,4,86.5,103,72,88,101,118,0.12438304
G0036461_14,flower pot,5,91,111.5,75,99,107,124,0.084849112
G0036461_14,flower pot,6,15,126,3,112,27,140,0.084008336
G0036461_14,flower pot,7,87.5,90.5,73,76,102,105,0.079786293
G0036461_14,flower pot,8,44.5,77,29,57,60,97,0.069949463
G0036461_14,flower pot,9,102,114.5,86,96,118,133,0.062076781
G0036461_14,flower pot,10,118,139.5,99,120,137,159,0.05455108
G0036461_14,flower pot,11,20.5,117,8,103,33,131,0.051751699
G0036461_14,flower pot,12,12.5,102,1,76,24,128,0.051595457
G0036461_14,umbrella,1,401,366,328,303,474,429,0.105995029
G0036461_14,umbrella,2,388,155,265,35,511,275,0.053939752
G0036461_14,umbrella,3,115,159,7,49,223,269,0.053063855
G0036461_14,basketball,1,101,105.5,34,27,168,184,0.079719909
G0036461_14,basketball,2,118,173.5,29,81,207,266,0.072214633
G0036461_14,basketball,3,415,281.5,339,211,491,352,0.071102716
G0036461_14,basketball,4,83.5,171,11,109,156,233,0.057781931
G0036461_14,basketball,5,347.5,226,255,154,440,298,0.05593596
G0036461_14,basketball,6,347,280,224,188,470,372,0.052896641
G0036461_14,basketball,7,402.5,335.5,311,265,494,406,0.051148199
G0036461_14,basketball,8,22.5,69.5,0,23,45,116,0.050985247
G0036461_14,basketball,9,164.5,221,80,144,249,298,0.050408408
G0036461_14,trash bin,1,292.5,246,256,216,329,276,0.096888244
G0036461_14,trash bin,2,147,220.5,107,187,187,254,0.092383951
G0036461_14,trash bin,3,372,247,324,213,420,281,0.084915809
G0036461_14,trash bin,4,113.5,139.5,93,120,134,159,0.070314407
G0036461_14,trash bin,5,120.5,281.5,80,247,161,316,0.067424498
G0036461_14,trash bin,6,128.5,253,82,221,175,285,0.060055729
G0036461_14,trash bin,7,309,272.5,279,232,339,313,0.05485291
G0036461_14,trash bin,8,339.5,245.5,302,211,377,280,0.05359662
G0036461_14,trash bin,9,168.5,205.5,134,166,203,245,0.052161284
G0036461_14,trash bin,10,392,265.5,334,231,450,300,0.051273767
G0036461_14,porch,1,136,164,14,34,258,294,0.119779468
G0036461_14,porch,2,378,156,258,14,498,298,0.117259145
G0036461_14,porch,3,254.5,208,31,43,478,373,0.112069592
G0036461_14,porch,4,263.5,103,60,0,467,206,0.057684734
G0036461_14,porch,5,92.5,140.5,10,51,175,230,0.054516397
G0036461_14,porch,6,94,205.5,8,125,180,286,0.050176378
G0036461_14,container,1,249,65.5,242,58,256,73,0.157841533
G0036461_14,container,2,47,88,29,68,65,108,0.152157098
G0036461_14,container,3,252,74,244,65,260,83,0.147690952
G0036461_14,container,4,125.5,282.5,113,270,138,295,0.139220744
G0036461_14,container,5,237,226,227,215,247,237,0.130473271
G0036461_14,container,6,65,99.5,51,83,79,116,0.12577796
G0036461_14,container,7,83.5,222.5,59,202,108,243,0.112381384
G0036461_14,container,8,74,102.5,62,89,86,116,0.106618576
G0036461_14,container,9,77.5,123.5,67,110,88,137,0.103528135
G0036461_14,container,10,425.5,138.5,408,119,443,158,0.09947788
G0036461_14,container,11,252.5,383,241,372,264,394,0.099475145
G0036461_14,container,12,118,286.5,104,273,132,300,0.096404061
G0036461_14,container,13,126,296,115,283,137,309,0.095788158
G0036461_14,container,14,101,104.5,86,90,116,119,0.09328939
G0036461_14,container,15,87.5,114,74,96,101,132,0.085249968
G0036461_14,container,16,149,212.5,112,178,186,247,0.0848253
G0036461_14,container,17,389.5,52,381,42,398,62,0.08345101
G0036461_14,container,18,132,287.5,117,274,147,301,0.081971988
G0036461_14,container,19,78.5,142,69,131,88,153,0.079845548
G0036461_14,container,20,80.5,110.5,67,98,94,123,0.079199888
G0036461_14,container,21,267,384.5,255,373,279,396,0.07737644
G0036461_14,container,22,260.5,67,253,58,268,76,0.076483779
G0036461_14,container,23,387.5,36,381,28,394,44,0.074168019
G0036461_14,container,24,163.5,208.5,142,183,185,234,0.073661357
G0036461_14,container,25,260.5,76,252,66,269,86,0.07349579
G0036461_14,container,26,125,272.5,113,261,137,284,0.07331422
G0036461_14,container,27,414,116,404,100,424,132,0.07253021
G0036461_14,container,28,308,244,285,216,331,272,0.072390944
G0036461_14,container,29,245.5,54,238,46,253,62,0.071057275
G0036461_14,container,30,88.5,125.5,75,109,102,142,0.070863515
G0036461_14,container,31,112,129,94,108,130,150,0.067340337
G0036461_14,container,32,101.5,91.5,90,77,113,106,0.065689646
G0036461_14,container,33,235.5,37.5,228,29,243,46,0.063746639
G0036461_14,container,34,89.5,141.5,76,127,103,156,0.063176543
G0036461_14,container,35,414,104,405,90,423,118,0.061574645
G0036461_14,container,36,117.5,296.5,106,283,129,310,0.061220866
G0036461_14,container,37,397.5,50.5,387,39,408,62,0.061161716
G0036461_14,container,38,110.5,282.5,96,269,125,296,0.060921144
G0036461_14,container,39,236,214,226,201,246,227,0.060619406
G0036461_14,container,40,250.5,87.5,241,77,260,98,0.059985455
G0036461_14,container,41,119,270,111,262,127,278,0.058816001
G0036461_14,container,42,238.5,62.5,229,52,248,73,0.058031056
G0036461_14,container,43,74.5,92,62,78,87,106,0.057834864
G0036461_14,container,44,245.5,37.5,239,30,252,45,0.056431875
G0036461_14,container,45,254.5,367,246,359,263,375,0.055439401
G0036461_14,container,46,65.5,231.5,41,211,90,252,0.055401761
G0036461_14,container,47,372,12,363,4,381,20,0.055157289
G0036461_14,container,48,87.5,91.5,71,79,104,104,0.054351442
G0036461_14,container,49,223,243,204,227,242,259,0.053850301
G0036461_14,container,50,117.5,275,105,264,130,286,0.052852165
G0036461_14,container,51,478.5,275.5,466,255,491,296,0.052124284
G0036461_14,container,52,415,127,401,112,429,142,0.051730447
G0036461_14,container,53,211.5,211,194,197,229,225,0.051080212
G0036461_14,container,54,317.5,14,307,4,328,24,0.050799783
G0036461_14,container,55,179.5,196,162,175,197,217,0.050638732
G0036461_14,container,56,48,109,33,91,63,127,0.050268758
G0036461_14,container,57,259.5,379,249,369,270,389,0.050181784
G0036461_14,gutter,1,310,361,251,285,369,437,0.064428262
G0036461_14,gutter,2,311,303,263,277,359,329,0.059589203
G0036461_14,gutter,3,125.5,359,84,318,167,400,0.0566689
G0036461_14,trash bin,1,292.5,246,256,216,329,276,0.096888244
G0036461_14,trash bin,2,147,220.5,107,187,187,254,0.092383951
G0036461_14,trash bin,3,372,247,324,213,420,281,0.084915809
G0036461_14,trash bin,4,113.5,139.5,93,120,134,159,0.070314407
G0036461_14,trash bin,5,120.5,281.5,80,247,161,316,0.067424498
G0036461_14,trash bin,6,128.5,253,82,221,175,285,0.060055729
G0036461_14,trash bin,7,309,272.5,279,232,339,313,0.05485291
G0036461_14,trash bin,8,339.5,245.5,302,211,377,280,0.05359662
G0036461_14,trash bin,9,168.5,205.5,134,166,203,245,0.052161284
G0036461_14,trash bin,10,392,265.5,334,231,450,300,0.051273767
G0036461_14,trash,1,20,71,0,19,40,123,0.062261619
G0036461_14,clutter,1,230,136,191,0,269,272,0.059777513
G0036461_14,clutter,2,119,166,3,42,235,290,0.056285139
G0036461_14,clutter,3,286,172.5,241,40,331,305,0.051587958
G0036461_14,table,1,75.5,167,23,138,128,196,0.067376301
G0036461_14,table,2,94,196,64,144,124,248,0.063135415
G0036461_14,table,3,91,146,60,95,122,197,0.06037005
G0036461_14,watering can,1,478,301,466,283,490,319,0.05272213
DJI_0099_44,flower pot,1,208,480.5,195,467,221,494,0.051428322
DJI_0099_44,tarp,1,464,94.5,431,21,497,168,0.050499327
DJI_0099_44,umbrella,1,244,140.5,80,63,408,218,0.053819995
DJI_0099_44,porch,1,255,109,64,0,446,218,0.056081064
DJI_0099_44,porch,2,226.5,81.5,75,21,378,142,0.054985683
DJI_0099_44,porch,3,36.5,374,6,243,67,505,0.053714518
DJI_0099_44,container,1,111.5,501,102,493,121,509,0.079619013
DJI_0099_44,container,2,179.5,47.5,166,31,193,64,0.064984076
DJI_0099_44,container,3,101,501.5,89,493,113,510,0.064614981
DJI_0099_44,container,4,474,90,462,71,486,109,0.050143622
DJI_0099_44,container,5,41.5,440,27,418,56,462,0.050126087
DJI_0099_44,gutter,1,47.5,421,35,387,60,455,0.242785186
DJI_0099_44,gutter,2,446,140.5,424,67,468,214,0.110851072
DJI_0099_44,gutter,3,240,212,91,169,389,255,0.075743467
DJI_0099_44,gutter,4,464,100.5,452,68,476,133,0.074642114
DJI_0099_44,gutter,5,48,384.5,36,343,60,426,0.072442353
DJI_0099_44,gutter,6,265,155.5,167,138,363,173,0.067193083
DJI_0099_44,gutter,7,55,409.5,40,375,70,444,0.065198645
DJI_0099_44,gutter,8,262.5,169,118,122,407,216,0.061331868
DJI_0099_44,gutter,9,468.5,138.5,443,67,494,210,0.057954513
DJI_0099_44,gutter,10,230.5,249,76,203,385,295,0.057545364
DJI_0099_44,gutter,11,280.5,176,180,159,381,193,0.056423344
DJI_0099_44,gutter,12,464.5,75,452,47,477,103,0.052446697
DJI_0099_44,toy,1,466,92.5,424,13,508,172,0.080775037
DJI_0099_44,kayak,1,450.5,87.5,403,6,498,169,0.060591739
DJI_0099_44,car,1,462.5,78.5,429,0,496,157,0.084285259
DJI_0099_44,car,2,235,87,60,5,410,169,0.066937752
DJI_0099_44,no larvae,1,48,408.5,36,369,60,448,0.053824808
DJI_0099_44,air conditioner,1,157,77,121,54,193,100,0.106792405
DJI_0099_44,ladder,1,423.5,73,396,5,451,141,0.113469251
DJI_0099_44,ladder,2,448,93.5,419,20,477,167,0.104470275
DJI_0099_44,ladder,3,228,209,65,169,391,249,0.086351365
DJI_0099_44,ladder,4,239.5,174.5,90,127,389,222,0.06758514
DJI_0099_44,ladder,5,233.5,78,87,25,380,131,0.060789794
G0013836_19,flower pot,1,400,369,381,345,419,393,0.187434599
G0013836_19,flower pot,2,410,361.5,390,338,430,385,0.162235051
G0013836_19,flower pot,3,498,302.5,484,283,512,322,0.113257125
G0013836_19,flower pot,4,388.5,383,374,365,403,401,0.056113098
G0013836_19,umbrella,1,443,409,377,335,509,483,0.09221293
G0013836_19,porch,1,438.5,404.5,368,323,509,486,0.066292629
G0013836_19,container,1,196,323.5,186,313,206,334,0.135857478
G0013836_19,container,2,197,335.5,184,323,210,348,0.111990273
G0013836_19,container,3,196,348.5,185,336,207,361,0.078627929
G0013836_19,gutter,1,394.5,215,369,201,420,229,0.055861741
G0013836_19,gutter,2,466,356,431,341,501,371,0.050249171
G0013836_19,toy,1,408.5,426.5,351,346,466,507,0.08520215
G0013836_19,toy,2,195,338,182,326,208,350,0.051820975
G0013836_19,kayak,1,401.5,422.5,341,333,462,512,0.051945902
G0013836_19,car,1,439.5,424,372,340,507,508,0.322603375
G0013836_19,car,2,401.5,387.5,350,284,453,491,0.051214665
G0013836_19,ladder,1,393,434,364,356,422,512,0.071812868
DJI_0039_9,flower pot,1,12.5,316,0,295,25,337,0.144731119
DJI_0039_9,flower pot,2,11,195.5,2,176,20,215,0.102295019
DJI_0039_9,flower pot,3,18.5,302.5,6,279,31,326,0.091735989
DJI_0039_9,flower pot,4,12,292.5,2,277,22,308,0.0819171
DJI_0039_9,flower pot,5,33,485.5,5,463,61,508,0.073695809
DJI_0039_9,flower pot,6,9.5,209.5,1,196,18,223,0.071811378
DJI_0039_9,flower pot,7,19.5,424.5,2,408,37,441,0.06709221
DJI_0039_9,flower pot,8,12.5,277.5,3,266,22,289,0.054418344
DJI_0039_9,flower pot,9,12.5,342,0,320,25,364,0.054241557
DJI_0039_9,flower pot,10,50.5,13,22,0,79,26,0.054211047
DJI_0039_9,flower pot,11,43,280.5,13,249,73,312,0.052831389
DJI_0039_9,flower pot,12,41,256.5,11,225,71,288,0.052302506
DJI_0039_9,flower pot,13,21.5,468.5,0,433,43,504,0.051835187
DJI_0039_9,umbrella,1,109,347,3,224,215,470,0.167318732
DJI_0039_9,basketball,1,20.5,30,0,7,41,53,0.052797537
DJI_0039_9,trash bin,1,35,19,5,0,65,38,0.073567316
DJI_0039_9,porch,1,129.5,349,28,219,231,479,0.259768844
DJI_0039_9,porch,2,232,227.5,44,79,420,376,0.064347789
DJI_0039_9,porch,3,233,352.5,57,207,409,498,0.061683353
DJI_0039_9,porch,4,91,260.5,4,179,178,342,0.052327644
DJI_0039_9,porch,5,22.5,454,0,408,45,500,0.052205563
DJI_0039_9,porch,6,69.5,424,0,338,139,510,0.050920919
DJI_0039_9,container,1,41,15,13,2,69,28,0.167792886
